graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_10,degree_distribution_original_11,degree_distribution_original_12,degree_distribution_original_13,degree_distribution_original_14,degree_distribution_original_15,degree_distribution_original_16,degree_distribution_original_17,degree_distribution_original_18,degree_distribution_original_19,degree_distribution_original_2,degree_distribution_original_20,degree_distribution_original_21,degree_distribution_original_22,degree_distribution_original_23,degree_distribution_original_24,degree_distribution_original_25,degree_distribution_original_26,degree_distribution_original_27,degree_distribution_original_28,degree_distribution_original_29,degree_distribution_original_3,degree_distribution_original_30,degree_distribution_original_31,degree_distribution_original_32,degree_distribution_original_33,degree_distribution_original_34,degree_distribution_original_35,degree_distribution_original_38,degree_distribution_original_39,degree_distribution_original_4,degree_distribution_original_40,degree_distribution_original_41,degree_distribution_original_43,degree_distribution_original_44,degree_distribution_original_48,degree_distribution_original_5,degree_distribution_original_56,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_original_9,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_19,degree_distribution_sparsified_2,degree_distribution_sparsified_20,degree_distribution_sparsified_21,degree_distribution_sparsified_22,degree_distribution_sparsified_23,degree_distribution_sparsified_24,degree_distribution_sparsified_25,degree_distribution_sparsified_26,degree_distribution_sparsified_27,degree_distribution_sparsified_28,degree_distribution_sparsified_29,degree_distribution_sparsified_3,degree_distribution_sparsified_30,degree_distribution_sparsified_31,degree_distribution_sparsified_32,degree_distribution_sparsified_33,degree_distribution_sparsified_34,degree_distribution_sparsified_35,degree_distribution_sparsified_36,degree_distribution_sparsified_37,degree_distribution_sparsified_38,degree_distribution_sparsified_39,degree_distribution_sparsified_4,degree_distribution_sparsified_40,degree_distribution_sparsified_41,degree_distribution_sparsified_43,degree_distribution_sparsified_44,degree_distribution_sparsified_48,degree_distribution_sparsified_5,degree_distribution_sparsified_56,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,sparsify_time
ants.edgelist,unknown,kols,0.2,35,480,96,0.2,True,True,5.0,4.0,0.0,1.3578151260504212,0.5193170750653202,4.0,51559758.0,12448728.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.08571428571428572,0.02857142857142857,,,,,,,,,,0.11428571428571428,,,,,,,,,,0.02857142857142857,0.4857142857142857,,0.02857142857142857,0.02857142857142857,,,,,,,,0.2,,,,,,,,,,,,0.003735599999999728
ants.edgelist,unknown,random,0.2,35,480,386,0.8041666666666667,True,True,5.0,5.0,0.0,1.115826330532213,0.14420564304153258,4.0,51559758.0,43089791.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,,,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,0.02857142857142857,0.02857142857142857,,0.05714285714285714,,0.08571428571428572,0.17142857142857143,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.11428571428571428,,0.02857142857142857,0.05714285714285714,,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,0.0010462999999996114
ants.edgelist,unknown,k_neighbor,0.2,35,480,39,0.08125,True,True,5.0,10.0,0.0,2.7388375350140053,3.164977406845104,9.0,51559758.0,11858191.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.22857142857142856,,,,,,,,,,,0.45714285714285713,,,,,,,,,,,0.22857142857142856,,,,,,,,,,,0.05714285714285714,,,,,,,,0.02857142857142857,,,,0.001665100000000308
ants.edgelist,unknown,local_degree,0.2,35,480,39,0.08125,True,True,5.0,3.0,0.0,1.194509803921571,0.2866155160103249,3.0,51559758.0,1746765.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,0.02857142857142857,,,,,,,,,,,,,,0.02857142857142857,,,,0.0030292999999996795
ants.edgelist,unknown,mst,0.2,35,480,34,0.07083333333333333,True,True,5.0,15.0,0.0,3.5168067226890747,6.220305769366563,15.0,51559758.0,380821.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.42857142857142855,,,,,,,,,,,0.34285714285714286,,,,,,,,,,,0.17142857142857143,,,,,,,,,,,,,,,,,0.02857142857142857,,0.02857142857142857,,,,0.0018925000000002967
ants.edgelist,unknown,t_spanner,0.2,35,480,56,0.11666666666666667,True,True,5.0,6.0,0.0,1.6640056022408958,0.753412619949931,5.0,51559758.0,920559.0,,,,,,,0.02857142857142857,0.02857142857142857,,,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.08571428571428572,,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.02857142857142857,,,,,,,,,,,,,,,,,0.08571428571428572,,,,,,,,,,,0.22857142857142856,,,,,,,,,,,0.4,,,,,,,,,,,0.14285714285714285,,,,,,0.02857142857142857,,0.08571428571428572,,0.02857142857142857,,0.031555
eco.edgelist,unknown,kols,0.2,54,353,70,0.19830028328611898,True,False,11.0,inf,0.42697414395527605,1.0264905149051504,0.6993797185849434,8.0,140335433.2836947,126127631.03656594,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,0.24074074074074073,0.2777777777777778,,,0.018518518518518517,0.05555555555555555,,,,,,,0.3148148148148148,,,,,,,,0.018518518518518517,,,0.05555555555555555,,,,,,,,,,,0.018518518518518517,,,,,,,,,,,,0.006441899999999556
eco.edgelist,unknown,random,0.2,54,353,280,0.7932011331444759,True,True,11.0,10.0,0.0,1.0911477760534352,0.37473191656706234,8.0,140335433.2836947,101295701.55764218,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,,,0.12962962962962962,0.05555555555555555,0.09259259259259259,0.07407407407407407,0.018518518518518517,0.05555555555555555,0.018518518518518517,,0.018518518518518517,,,,,,,0.018518518518518517,,,,,,0.037037037037037035,,0.018518518518518517,,,,,,,,0.018518518518518517,0.12962962962962962,,,,,,0.018518518518518517,,0.05555555555555555,0.1111111111111111,0.07407407407407407,0.05555555555555555,0.0008392999999999873
eco.edgelist,unknown,k_neighbor,0.2,54,353,52,0.14730878186968838,True,False,11.0,inf,0.1069182389937107,1.2316384276478176,0.9690632194095284,8.0,140335433.2836947,50924587.09367333,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,,0.6481481481481481,,,,,0.018518518518518517,,,,,,0.2037037037037037,,,,,,,,,,,0.05555555555555555,,,,,,,,,,,0.018518518518518517,,,,,,,,0.018518518518518517,0.037037037037037035,,,0.002256899999999895
eco.edgelist,unknown,local_degree,0.2,54,353,54,0.1529745042492918,True,True,11.0,5.0,0.0,0.6583672655475604,0.21023539701954927,4.0,140335433.2836947,48545332.932182394,,0.05555555555555555,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.09259259259259259,0.05555555555555555,,0.018518518518518517,0.037037037037037035,0.09259259259259259,,0.018518518518518517,0.018518518518518517,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,0.037037037037037035,,,,,0.018518518518518517,0.037037037037037035,,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.037037037037037035,,0.9074074074074074,,,,,,,,,,,0.037037037037037035,,,,,,,,,,,0.018518518518518517,,,,,,,,,,,0.018518518518518517,,,,,0.018518518518518517,,,,,,,0.001996899999999968
