graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_10,degree_distribution_original_in_11,degree_distribution_original_in_12,degree_distribution_original_in_13,degree_distribution_original_in_14,degree_distribution_original_in_15,degree_distribution_original_in_16,degree_distribution_original_in_17,degree_distribution_original_in_18,degree_distribution_original_in_19,degree_distribution_original_in_2,degree_distribution_original_in_20,degree_distribution_original_in_22,degree_distribution_original_in_23,degree_distribution_original_in_24,degree_distribution_original_in_25,degree_distribution_original_in_27,degree_distribution_original_in_28,degree_distribution_original_in_29,degree_distribution_original_in_3,degree_distribution_original_in_30,degree_distribution_original_in_36,degree_distribution_original_in_38,degree_distribution_original_in_4,degree_distribution_original_in_48,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_in_9,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_10,degree_distribution_original_out_11,degree_distribution_original_out_12,degree_distribution_original_out_13,degree_distribution_original_out_14,degree_distribution_original_out_15,degree_distribution_original_out_16,degree_distribution_original_out_17,degree_distribution_original_out_18,degree_distribution_original_out_19,degree_distribution_original_out_2,degree_distribution_original_out_20,degree_distribution_original_out_21,degree_distribution_original_out_22,degree_distribution_original_out_23,degree_distribution_original_out_24,degree_distribution_original_out_25,degree_distribution_original_out_26,degree_distribution_original_out_27,degree_distribution_original_out_28,degree_distribution_original_out_29,degree_distribution_original_out_3,degree_distribution_original_out_30,degree_distribution_original_out_33,degree_distribution_original_out_39,degree_distribution_original_out_4,degree_distribution_original_out_40,degree_distribution_original_out_43,degree_distribution_original_out_47,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_original_out_9,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_12,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_9,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_10,degree_distribution_sparsified_in_11,degree_distribution_sparsified_in_12,degree_distribution_sparsified_in_13,degree_distribution_sparsified_in_14,degree_distribution_sparsified_in_15,degree_distribution_sparsified_in_16,degree_distribution_sparsified_in_17,degree_distribution_sparsified_in_18,degree_distribution_sparsified_in_19,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_20,degree_distribution_sparsified_in_21,degree_distribution_sparsified_in_22,degree_distribution_sparsified_in_23,degree_distribution_sparsified_in_24,degree_distribution_sparsified_in_26,degree_distribution_sparsified_in_27,degree_distribution_sparsified_in_28,degree_distribution_sparsified_in_29,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_40,degree_distribution_sparsified_in_48,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_10,degree_distribution_sparsified_out_11,degree_distribution_sparsified_out_12,degree_distribution_sparsified_out_13,degree_distribution_sparsified_out_14,degree_distribution_sparsified_out_15,degree_distribution_sparsified_out_16,degree_distribution_sparsified_out_17,degree_distribution_sparsified_out_18,degree_distribution_sparsified_out_19,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_20,degree_distribution_sparsified_out_21,degree_distribution_sparsified_out_22,degree_distribution_sparsified_out_23,degree_distribution_sparsified_out_24,degree_distribution_sparsified_out_26,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_31,degree_distribution_sparsified_out_32,degree_distribution_sparsified_out_36,degree_distribution_sparsified_out_37,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,degree_distribution_sparsified_out_9,sparsify_time
ants.edgelist,directed,kols,0.2,35,480,96,0.2,True,False,inf,inf,0.888235294117647,1.0025062656641606,0.06599204778864423,2.0,51559758.0,3033542.0,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,,0.11428571428571428,,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.05714285714285714,,0.02857142857142857,0.02857142857142857,,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,,,0.02857142857142857,,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.02857142857142857,,,,,,,,,,,,,0.4857142857142857,0.08571428571428572,0.02857142857142857,,0.02857142857142857,,,,,,,,0.08571428571428572,,,,,,,,,,0.02857142857142857,,,,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.5428571428571428,0.08571428571428572,,0.05714285714285714,,0.02857142857142857,,,,,,,0.02857142857142857,,,,,,,0.02857142857142857,,,,,0.02857142857142857,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.000383200000000139
ants.edgelist,directed,random,0.2,35,480,386,0.8041666666666667,True,True,inf,inf,0.5176470588235295,1.0843495934959348,0.1486996060073834,3.0,51559758.0,39452142.0,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,,0.11428571428571428,,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.05714285714285714,,0.02857142857142857,0.02857142857142857,,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,,,0.02857142857142857,,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.02857142857142857,,,,,,,,,,,,,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.08571428571428572,0.05714285714285714,0.05714285714285714,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.05714285714285714,,0.02857142857142857,,,,0.02857142857142857,0.05714285714285714,,,0.02857142857142857,0.11428571428571428,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.05714285714285714,,0.08571428571428572,,0.05714285714285714,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,0.05714285714285714,0.02857142857142857,0.02857142857142857,,,,,0.08571428571428572,,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.00041970000000013385
ants.edgelist,directed,k_neighbor,0.2,35,480,40,0.08333333333333333,True,True,inf,12.0,0.0,3.3937074829931975,5.114835687676441,12.0,51559758.0,10135378.0,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,,0.11428571428571428,,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.05714285714285714,,0.02857142857142857,0.02857142857142857,,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,,,0.02857142857142857,,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.14285714285714285,,,,,0.5714285714285714,0.22857142857142856,0.02857142857142857,,,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012313000000001573
ants.edgelist,directed,local_degree,0.2,35,480,35,0.07291666666666667,True,True,inf,inf,0.8689075630252101,1.9006410256410255,1.7273963127328518,6.0,51559758.0,2039374.0,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,,0.11428571428571428,,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.05714285714285714,,0.02857142857142857,0.02857142857142857,,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,,,0.02857142857142857,,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.02857142857142857,,,,,,,,,,,,,0.8,0.05714285714285714,,,,,,,,,0.02857142857142857,,0.05714285714285714,,,,,,,,,,,,,,0.02857142857142857,0.02857142857142857,,,,0.02857142857142857,0.9428571428571428,,,,,,,,,,,0.02857142857142857,,,,,,,,,,,,,,,,,,0.0004617000000000093
ants.edgelist,directed,mst,0.2,35,480,34,0.07083333333333333,True,True,inf,15.0,0.0,4.1310941043083895,8.480369607924434,15.0,51559758.0,380821.0,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,,0.11428571428571428,,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.05714285714285714,,0.02857142857142857,0.02857142857142857,,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,,,0.02857142857142857,,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.42857142857142855,,,,,0.34285714285714286,0.17142857142857143,,0.02857142857142857,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011685000000001278
ants.edgelist,directed,t_spanner,0.2,35,480,112,0.23333333333333334,True,True,inf,6.0,0.0,1.9732142857142858,1.1409704506802714,5.0,51559758.0,920559.0,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,,0.11428571428571428,,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.05714285714285714,,0.02857142857142857,0.02857142857142857,,,0.02857142857142857,,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.08571428571428572,,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,,,0.02857142857142857,,0.05714285714285714,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,,0.02857142857142857,,,,0.05714285714285714,,0.05714285714285714,0.05714285714285714,0.02857142857142857,,,,,,,,,,,,,,0.08571428571428572,,,,,,,,,,,0.22857142857142856,,,,,,,,,,0.4,0.14285714285714285,,,0.02857142857142857,0.08571428571428572,,0.02857142857142857,,,0.08571428571428572,,,,,,,,,,,0.22857142857142856,,,,,,,0.4,,,,,0.14285714285714285,0.02857142857142857,0.08571428571428572,,0.02857142857142857,,0.013863200000000075
eco.edgelist,directed,kols,0.2,54,356,71,0.199438202247191,True,False,inf,inf,0.906009783368274,0.9343246592317225,0.024243131275441462,1.5,147800185.94598138,26180734.513447247,0.018518518518518517,0.12962962962962962,0.037037037037037035,0.05555555555555555,,0.018518518518518517,,,,,,,0.07407407407407407,,,,,,,,,0.1111111111111111,,,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.1111111111111111,0.037037037037037035,,0.07407407407407407,0.07407407407407407,0.037037037037037035,,0.037037037037037035,0.018518518518518517,,0.018518518518518517,0.018518518518518517,,0.18518518518518517,,,,,,,,0.018518518518518517,,,0.16666666666666666,,,,0.05555555555555555,,,,0.12962962962962962,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,,,,,,,,,,,,,0.5,0.3333333333333333,,0.018518518518518517,,,,,0.018518518518518517,,,,0.037037037037037035,,,,,,,,,,0.037037037037037035,,,,0.037037037037037035,0.018518518518518517,,,,0.6851851851851852,,0.018518518518518517,,0.018518518518518517,,,,,,,,0.1111111111111111,,,,,,,0.07407407407407407,,,,,0.018518518518518517,0.05555555555555555,0.018518518518518517,,,,0.0004495999999998279
eco.edgelist,directed,random,0.2,54,356,282,0.7921348314606742,True,True,inf,inf,0.7421383647798742,1.0722448057813911,0.09864887533059391,3.0,147800185.94598138,119799690.62918745,0.018518518518518517,0.12962962962962962,0.037037037037037035,0.05555555555555555,,0.018518518518518517,,,,,,,0.07407407407407407,,,,,,,,,0.1111111111111111,,,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.1111111111111111,0.037037037037037035,,0.07407407407407407,0.07407407407407407,0.037037037037037035,,0.037037037037037035,0.018518518518518517,,0.018518518518518517,0.018518518518518517,,0.18518518518518517,,,,,,,,0.018518518518518517,,,0.16666666666666666,,,,0.05555555555555555,,,,0.12962962962962962,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,,,,,,,,,,,,,0.05555555555555555,0.18518518518518517,,0.018518518518518517,,,,,,,,,0.07407407407407407,,,,,,,,,0.018518518518518517,0.16666666666666666,0.14814814814814814,0.018518518518518517,,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.09259259259259259,0.07407407407407407,0.037037037037037035,0.09259259259259259,0.07407407407407407,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,,,,,,0.18518518518518517,,,,,0.018518518518518517,,0.14814814814814814,,,,,0.1111111111111111,0.07407407407407407,0.05555555555555555,0.05555555555555555,,0.07407407407407407,0.00034509999999987606
eco.edgelist,directed,k_neighbor,0.2,54,356,52,0.14606741573033707,True,False,inf,inf,0.1069182389937107,1.5344719896083807,1.5853169523194672,9.0,147800185.94598138,51695172.89996964,0.018518518518518517,0.12962962962962962,0.037037037037037035,0.05555555555555555,,0.018518518518518517,,,,,,,0.07407407407407407,,,,,,,,,0.1111111111111111,,,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.1111111111111111,0.037037037037037035,,0.07407407407407407,0.07407407407407407,0.037037037037037035,,0.037037037037037035,0.018518518518518517,,0.018518518518518517,0.018518518518518517,,0.18518518518518517,,,,,,,,0.018518518518518517,,,0.16666666666666666,,,,0.05555555555555555,,,,0.12962962962962962,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.7222222222222222,0.018518518518518517,,,0.018518518518518517,0.12962962962962962,0.05555555555555555,0.018518518518518517,,0.018518518518518517,0.018518518518518517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011592000000000269
eco.edgelist,directed,local_degree,0.2,54,356,52,0.14606741573033707,True,False,inf,inf,0.9804332634521313,0.6014880952380951,0.0672547300170068,1.0,147800185.94598138,35061321.20484325,0.018518518518518517,0.12962962962962962,0.037037037037037035,0.05555555555555555,,0.018518518518518517,,,,,,,0.07407407407407407,,,,,,,,,0.1111111111111111,,,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.14814814814814814,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.1111111111111111,0.037037037037037035,,0.07407407407407407,0.07407407407407407,0.037037037037037035,,0.037037037037037035,0.018518518518518517,,0.018518518518518517,0.018518518518518517,,0.18518518518518517,,,,,,,,0.018518518518518517,,,0.16666666666666666,,,,0.05555555555555555,,,,0.12962962962962962,0.05555555555555555,0.037037037037037035,0.018518518518518517,0.018518518518518517,,,,,,,,,,,,,0.9074074074074074,0.07407407407407407,,,,,,,,,,,,,,,,,,,,,,,,0.018518518518518517,,,,,,0.037037037037037035,0.9629629629629629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005008999999998043
