graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_10,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_10,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,sparsify_time,metric_time
planar1.edgelist,planar,original,0.2,12,25,,1.0,True,True,inf,inf,1.0,inf,inf,inf,180697.8475168659,180697.8475168659,0.08333333333333333,0.16666666666666666,,0.5,0.08333333333333333,0.16666666666666666,,,,,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,,,,,,,,,,,,0.08333333333333333,0.16666666666666666,,0.5,0.08333333333333333,0.16666666666666666,,,,,,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,,,,,,0.0010377119999986917
planar1.edgelist,planar,kols,0.2,12,25,11,0.44,True,False,inf,inf,1.0,inf,inf,inf,180697.8475168659,93963.38961760195,0.08333333333333333,0.16666666666666666,,0.5,0.08333333333333333,0.16666666666666666,,,,,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,,,,,,,,,,,,0.3333333333333333,0.4166666666666667,,0.25,,,,,,,,0.5,0.25,0.16666666666666666,,0.08333333333333333,,,,,0.00018999100001337865,0.00042866699999422053
planar1.edgelist,planar,random,0.2,12,25,22,0.88,True,True,inf,inf,1.0,inf,inf,inf,180697.8475168659,149759.8753951719,0.08333333333333333,0.16666666666666666,,0.5,0.08333333333333333,0.16666666666666666,,,,,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,,,,,,,,,,,,0.08333333333333333,0.25,,0.4166666666666667,0.25,,,,,,,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,,,,,5.441600001176994e-05,0.0005574109999884058
planar1.edgelist,planar,k_neighbor,0.2,12,25,10,0.4,True,False,inf,inf,0.5303030303030303,inf,inf,inf,180697.8475168659,109308.05660873695,0.08333333333333333,0.16666666666666666,,0.5,0.08333333333333333,0.16666666666666666,,,,,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,,,,,0.5,0.4166666666666667,,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.0006798349999996844,0.0004922859999965112
planar1.edgelist,planar,local_degree,0.2,12,25,11,0.44,True,True,inf,inf,1.0,inf,inf,inf,180697.8475168659,97741.83271449392,0.08333333333333333,0.16666666666666666,,0.5,0.08333333333333333,0.16666666666666666,,,,,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,,,,,,,,,,,,0.5,0.08333333333333333,,0.4166666666666667,,,,,,,,0.08333333333333333,0.9166666666666666,,,,,,,,9.28059999978359e-05,0.00042501299998320974
planar1.edgelist,planar,mst,0.2,12,25,11,0.44,True,True,inf,35.623000000000005,0.0,inf,inf,inf,180697.8475168659,27525.40168583999,0.08333333333333333,0.16666666666666666,,0.5,0.08333333333333333,0.16666666666666666,,,,,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,,,,,0.3333333333333333,0.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,0.00017292699999416072,0.0004399739999882968
planar1.edgelist,planar,t_spanner,0.2,12,25,24,0.96,True,True,inf,inf,1.0,inf,inf,inf,180697.8475168659,28323.80571906299,0.08333333333333333,0.16666666666666666,,0.5,0.08333333333333333,0.16666666666666666,,,,,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,,,,,,,,,,,,,0.25,,0.5,0.25,,,,,,,,0.25,0.5,0.25,,,,,,0.0002970319999917592,0.0006075189999990016
planar10.edgelist,planar,original,0.2,13,31,,1.0,True,True,inf,inf,1.0,inf,inf,inf,171163.08546580997,171163.08546580997,0.15384615384615385,0.07692307692307693,,0.3076923076923077,0.15384615384615385,0.3076923076923077,,,,,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,,,,,,,,,,,0.15384615384615385,0.07692307692307693,,0.3076923076923077,0.15384615384615385,0.3076923076923077,,,,,,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,,,,,0.0005816200000197114
planar10.edgelist,planar,kols,0.2,13,31,12,0.3870967741935484,True,False,inf,inf,1.0,inf,inf,inf,171163.08546580997,76636.97875474299,0.15384615384615385,0.07692307692307693,,0.3076923076923077,0.15384615384615385,0.3076923076923077,,,,,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,,,,,,,,,,,0.38461538461538464,0.3076923076923077,,0.3076923076923077,,,,,,,,0.6153846153846154,0.15384615384615385,0.07692307692307693,,0.15384615384615385,,,,,9.615799999096453e-05,0.00043479400000023816
planar10.edgelist,planar,random,0.2,13,31,28,0.9032258064516129,True,True,inf,inf,1.0,inf,inf,inf,171163.08546580997,159574.08021848896,0.15384615384615385,0.07692307692307693,,0.3076923076923077,0.15384615384615385,0.3076923076923077,,,,,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,,,,,,,,,,,0.15384615384615385,0.15384615384615385,,0.3076923076923077,0.15384615384615385,0.23076923076923078,,,,,,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,,,,5.3589000003739784e-05,0.0004933980000032534
planar10.edgelist,planar,k_neighbor,0.2,13,31,10,0.3225806451612903,True,False,inf,inf,0.8076923076923077,inf,inf,inf,171163.08546580997,59119.67820784499,0.15384615384615385,0.07692307692307693,,0.3076923076923077,0.15384615384615385,0.3076923076923077,,,,,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,,,,0.5384615384615384,0.38461538461538464,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,0.0006580410000083248,0.000422018999984175
planar10.edgelist,planar,local_degree,0.2,13,31,10,0.3225806451612903,True,False,inf,inf,1.0,inf,inf,inf,171163.08546580997,39782.227775914,0.15384615384615385,0.07692307692307693,,0.3076923076923077,0.15384615384615385,0.3076923076923077,,,,,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,,,,,,,,,,,0.6153846153846154,0.23076923076923078,,,0.07692307692307693,0.07692307692307693,,,,,,0.23076923076923078,0.7692307692307693,,,,,,,,8.723099998064754e-05,0.0006908100000089235
planar10.edgelist,planar,mst,0.2,13,31,12,0.3870967741935484,True,True,inf,55.245,0.0,inf,inf,inf,171163.08546580997,43315.84026836299,0.15384615384615385,0.07692307692307693,,0.3076923076923077,0.15384615384615385,0.3076923076923077,,,,,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,,,,0.3076923076923077,0.5384615384615384,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,0.00015279600000894789,0.0004903119999823957
planar10.edgelist,planar,t_spanner,0.2,13,31,30,0.967741935483871,True,True,inf,inf,1.0,inf,inf,inf,171163.08546580997,66804.713510079,0.15384615384615385,0.07692307692307693,,0.3076923076923077,0.15384615384615385,0.3076923076923077,,,,,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,,,,,,,,,,,,0.07692307692307693,,0.5384615384615384,0.38461538461538464,,,,,,,,0.07692307692307693,0.5384615384615384,0.38461538461538464,,,,,,0.0004016750000062075,0.0006557269999802884
planar11.edgelist,planar,original,0.2,98,280,,1.0,True,True,inf,inf,1.0,inf,inf,inf,1964762.6498078953,1964762.6498078953,0.02040816326530612,0.1326530612244898,,0.2857142857142857,0.2857142857142857,0.17346938775510204,0.030612244897959183,0.05102040816326531,0.02040816326530612,,0.14285714285714285,0.14285714285714285,0.19387755102040816,0.14285714285714285,0.15306122448979592,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.01020408163265306,,,,,,,,0.02040816326530612,0.1326530612244898,,0.2857142857142857,0.2857142857142857,0.17346938775510204,0.030612244897959183,0.05102040816326531,0.02040816326530612,,,0.14285714285714285,0.14285714285714285,0.19387755102040816,0.14285714285714285,0.15306122448979592,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.01020408163265306,,0.010369153999988612
planar11.edgelist,planar,kols,0.2,98,280,97,0.3464285714285714,True,False,inf,inf,1.0,inf,inf,inf,1964762.6498078953,540711.735408328,0.02040816326530612,0.1326530612244898,,0.2857142857142857,0.2857142857142857,0.17346938775510204,0.030612244897959183,0.05102040816326531,0.02040816326530612,,0.14285714285714285,0.14285714285714285,0.19387755102040816,0.14285714285714285,0.15306122448979592,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.01020408163265306,,,,,,,,0.5306122448979592,0.1326530612244898,,0.19387755102040816,0.11224489795918367,0.02040816326530612,0.01020408163265306,,,,,0.673469387755102,0.09183673469387756,0.05102040816326531,0.061224489795918366,0.04081632653061224,0.05102040816326531,0.02040816326530612,0.01020408163265306,,0.000437475000012455,0.007588631999993822
planar11.edgelist,planar,random,0.2,98,280,222,0.7928571428571428,True,True,inf,inf,1.0,inf,inf,inf,1964762.6498078953,1565718.7568754707,0.02040816326530612,0.1326530612244898,,0.2857142857142857,0.2857142857142857,0.17346938775510204,0.030612244897959183,0.05102040816326531,0.02040816326530612,,0.14285714285714285,0.14285714285714285,0.19387755102040816,0.14285714285714285,0.15306122448979592,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.01020408163265306,,,,,,,,0.08163265306122448,0.16326530612244897,,0.40816326530612246,0.19387755102040816,0.10204081632653061,0.01020408163265306,0.04081632653061224,,,,0.17346938775510204,0.23469387755102042,0.17346938775510204,0.17346938775510204,0.12244897959183673,0.07142857142857142,0.04081632653061224,0.01020408163265306,,0.00034616699997513933,0.009284952000001567
planar11.edgelist,planar,k_neighbor,0.2,98,280,88,0.3142857142857143,True,False,inf,inf,0.8897538396802019,inf,inf,inf,1964762.6498078953,959500.314964739,0.02040816326530612,0.1326530612244898,,0.2857142857142857,0.2857142857142857,0.17346938775510204,0.030612244897959183,0.05102040816326531,0.02040816326530612,,0.14285714285714285,0.14285714285714285,0.19387755102040816,0.14285714285714285,0.15306122448979592,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.01020408163265306,0.42857142857142855,0.3877551020408163,0.15306122448979592,0.02040816326530612,0.01020408163265306,,,,,,,,,,,,,,,,,,,,,,,0.004669336000006297,0.007273588999993308
planar11.edgelist,planar,local_degree,0.2,98,280,84,0.3,True,False,inf,inf,1.0,inf,inf,inf,1964762.6498078953,498432.97853644396,0.02040816326530612,0.1326530612244898,,0.2857142857142857,0.2857142857142857,0.17346938775510204,0.030612244897959183,0.05102040816326531,0.02040816326530612,,0.14285714285714285,0.14285714285714285,0.19387755102040816,0.14285714285714285,0.15306122448979592,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.01020408163265306,,,,,,,,0.5306122448979592,0.2755102040816326,,0.08163265306122448,0.05102040816326531,0.04081632653061224,0.02040816326530612,,,,,0.14285714285714285,0.8571428571428571,,,,,,,,0.0006740030000003117,0.007200087999990501
