graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_10,degree_distribution_original_in_11,degree_distribution_original_in_12,degree_distribution_original_in_13,degree_distribution_original_in_14,degree_distribution_original_in_15,degree_distribution_original_in_16,degree_distribution_original_in_17,degree_distribution_original_in_18,degree_distribution_original_in_19,degree_distribution_original_in_2,degree_distribution_original_in_20,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_in_9,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_10,degree_distribution_original_out_11,degree_distribution_original_out_12,degree_distribution_original_out_13,degree_distribution_original_out_14,degree_distribution_original_out_15,degree_distribution_original_out_16,degree_distribution_original_out_17,degree_distribution_original_out_18,degree_distribution_original_out_19,degree_distribution_original_out_2,degree_distribution_original_out_20,degree_distribution_original_out_22,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_original_out_9,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_19,degree_distribution_sparsified_2,degree_distribution_sparsified_20,degree_distribution_sparsified_21,degree_distribution_sparsified_23,degree_distribution_sparsified_25,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_10,degree_distribution_sparsified_in_11,degree_distribution_sparsified_in_12,degree_distribution_sparsified_in_13,degree_distribution_sparsified_in_14,degree_distribution_sparsified_in_15,degree_distribution_sparsified_in_16,degree_distribution_sparsified_in_17,degree_distribution_sparsified_in_18,degree_distribution_sparsified_in_19,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_20,degree_distribution_sparsified_in_21,degree_distribution_sparsified_in_22,degree_distribution_sparsified_in_23,degree_distribution_sparsified_in_24,degree_distribution_sparsified_in_25,degree_distribution_sparsified_in_27,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_10,degree_distribution_sparsified_out_11,degree_distribution_sparsified_out_12,degree_distribution_sparsified_out_13,degree_distribution_sparsified_out_14,degree_distribution_sparsified_out_15,degree_distribution_sparsified_out_16,degree_distribution_sparsified_out_17,degree_distribution_sparsified_out_18,degree_distribution_sparsified_out_19,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_20,degree_distribution_sparsified_out_21,degree_distribution_sparsified_out_22,degree_distribution_sparsified_out_23,degree_distribution_sparsified_out_24,degree_distribution_sparsified_out_25,degree_distribution_sparsified_out_27,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,degree_distribution_sparsified_out_9,sparsify_time,metric_time
unweighted1.edgelist,unweighted,original,0.2,76,572,,1.0,True,True,inf,inf,1.0,inf,inf,inf,13303.0,13303.0,,,0.09210526315789473,0.06578947368421052,,,0.02631578947368421,,,,,,0.039473684210526314,,0.013157894736842105,0.06578947368421052,0.09210526315789473,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.19736842105263158,0.013157894736842105,,0.11842105263157894,0.013157894736842105,0.02631578947368421,0.02631578947368421,,,0.013157894736842105,,,,0.013157894736842105,,,0.013157894736842105,0.06578947368421052,0.06578947368421052,0.13157894736842105,0.2236842105263158,0.17105263157894737,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,0.09210526315789473,0.06578947368421052,,,0.02631578947368421,,,,,,0.039473684210526314,,,,,,,,0.013157894736842105,0.06578947368421052,0.09210526315789473,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.19736842105263158,0.013157894736842105,,0.11842105263157894,0.013157894736842105,0.02631578947368421,0.02631578947368421,,,0.013157894736842105,,,,0.013157894736842105,,,,,,,,0.013157894736842105,0.06578947368421052,0.06578947368421052,0.13157894736842105,0.2236842105263158,0.17105263157894737,0.10526315789473684,,0.1080659459999822
unweighted1.edgelist,unweighted,kols,0.2,76,572,114,0.1993006993006993,True,True,inf,inf,1.0,inf,inf,inf,13303.0,2010.0,,,0.09210526315789473,0.06578947368421052,,,0.02631578947368421,,,,,,0.039473684210526314,,0.013157894736842105,0.06578947368421052,0.09210526315789473,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.19736842105263158,0.013157894736842105,,0.11842105263157894,0.013157894736842105,0.02631578947368421,0.02631578947368421,,,0.013157894736842105,,,,0.013157894736842105,,,0.013157894736842105,0.06578947368421052,0.06578947368421052,0.13157894736842105,0.2236842105263158,0.17105263157894737,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.4605263157894737,,,,,,,,,,,0.13157894736842105,,,,,,,,0.039473684210526314,0.06578947368421052,,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.3815789473684211,0.4868421052631579,,0.013157894736842105,,,,,,,,,,,,,,,,,,,0.013157894736842105,,0.05263157894736842,0.039473684210526314,0.013157894736842105,0.006645495999975992,0.06666185199998154
unweighted1.edgelist,unweighted,random,0.2,76,572,130,0.22727272727272727,True,False,inf,inf,1.0,inf,inf,inf,13303.0,3370.0,,,0.09210526315789473,0.06578947368421052,,,0.02631578947368421,,,,,,0.039473684210526314,,0.013157894736842105,0.06578947368421052,0.09210526315789473,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.19736842105263158,0.013157894736842105,,0.11842105263157894,0.013157894736842105,0.02631578947368421,0.02631578947368421,,,0.013157894736842105,,,,0.013157894736842105,,,0.013157894736842105,0.06578947368421052,0.06578947368421052,0.13157894736842105,0.2236842105263158,0.17105263157894737,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,0.2236842105263158,0.2631578947368421,,,,,,,,,,,0.2236842105263158,,,,,,,,0.17105263157894737,0.10526315789473684,0.013157894736842105,,,,,0.17105263157894737,0.27631578947368424,,,,,,,,,,,0.3026315789473684,,,,,,,,0.18421052631578946,0.05263157894736842,0.013157894736842105,,,,,0.0008907719999911023,0.06480295499997624
unweighted1.edgelist,unweighted,k_neighbor,0.2,76,572,72,0.1258741258741259,True,False,inf,inf,0.26456140350877194,inf,inf,inf,13303.0,1959.0,,,0.09210526315789473,0.06578947368421052,,,0.02631578947368421,,,,,,0.039473684210526314,,0.013157894736842105,0.06578947368421052,0.09210526315789473,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.19736842105263158,0.013157894736842105,,0.11842105263157894,0.013157894736842105,0.02631578947368421,0.02631578947368421,,,0.013157894736842105,,,,0.013157894736842105,,,0.013157894736842105,0.06578947368421052,0.06578947368421052,0.13157894736842105,0.2236842105263158,0.17105263157894737,0.10526315789473684,0.40789473684210525,,,,,,,,,,,0.35526315789473684,,,,,0.18421052631578946,0.039473684210526314,0.013157894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012411450999991303,0.06613229600000636
unweighted1.edgelist,unweighted,local_degree,0.2,76,572,75,0.13111888111888112,True,False,inf,inf,1.0,inf,inf,inf,13303.0,3025.0,,,0.09210526315789473,0.06578947368421052,,,0.02631578947368421,,,,,,0.039473684210526314,,0.013157894736842105,0.06578947368421052,0.09210526315789473,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.19736842105263158,0.013157894736842105,,0.11842105263157894,0.013157894736842105,0.02631578947368421,0.02631578947368421,,,0.013157894736842105,,,,0.013157894736842105,,,0.013157894736842105,0.06578947368421052,0.06578947368421052,0.13157894736842105,0.2236842105263158,0.17105263157894737,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,0.7105263157894737,0.10526315789473684,0.013157894736842105,,,,,,,,,,0.06578947368421052,,,,,,,,0.02631578947368421,,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.9868421052631579,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019012219999865465,0.0593235280000215
unweighted1.edgelist,unweighted,mst,0.2,76,572,75,0.13111888111888112,True,True,inf,9.0,0.0,inf,inf,inf,13303.0,1476.0,,,0.09210526315789473,0.06578947368421052,,,0.02631578947368421,,,,,,0.039473684210526314,,0.013157894736842105,0.06578947368421052,0.09210526315789473,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.19736842105263158,0.013157894736842105,,0.11842105263157894,0.013157894736842105,0.02631578947368421,0.02631578947368421,,,0.013157894736842105,,,,0.013157894736842105,,,0.013157894736842105,0.06578947368421052,0.06578947368421052,0.13157894736842105,0.2236842105263158,0.17105263157894737,0.10526315789473684,0.75,,,,0.02631578947368421,,,,,,,0.11842105263157894,,,,,0.013157894736842105,,0.039473684210526314,,0.02631578947368421,0.013157894736842105,0.013157894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004131048999994391,0.07214632200000892
unweighted1.edgelist,unweighted,t_spanner,0.2,76,572,692,1.2097902097902098,True,True,inf,inf,1.0,inf,inf,inf,13303.0,8445.0,,,0.09210526315789473,0.06578947368421052,,,0.02631578947368421,,,,,,0.039473684210526314,,0.013157894736842105,0.06578947368421052,0.09210526315789473,0.11842105263157894,0.13157894736842105,0.15789473684210525,0.19736842105263158,0.013157894736842105,,0.11842105263157894,0.013157894736842105,0.02631578947368421,0.02631578947368421,,,0.013157894736842105,,,,0.013157894736842105,,,0.013157894736842105,0.06578947368421052,0.06578947368421052,0.13157894736842105,0.2236842105263158,0.17105263157894737,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,0.07894736842105263,0.10526315789473684,0.07894736842105263,0.07894736842105263,0.02631578947368421,,0.013157894736842105,,,,,,,,,,,,0.013157894736842105,0.013157894736842105,0.02631578947368421,0.07894736842105263,0.11842105263157894,0.23684210526315788,0.13157894736842105,,,0.07894736842105263,0.10526315789473684,0.07894736842105263,0.07894736842105263,0.02631578947368421,,0.013157894736842105,,,,,,,,,,,,0.013157894736842105,0.013157894736842105,0.02631578947368421,0.07894736842105263,0.11842105263157894,0.23684210526315788,0.13157894736842105,0.12337008800000149,0.11672921500002076
unweighted10.edgelist,unweighted,original,0.2,69,470,,1.0,True,True,inf,inf,1.0,inf,inf,inf,13845.0,13845.0,,,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.014492753623188406,,,,,,0.028985507246376812,,0.043478260869565216,0.014492753623188406,0.2463768115942029,0.14492753623188406,0.2318840579710145,0.057971014492753624,0.10144927536231885,,0.014492753623188406,0.08695652173913043,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,,,,0.043478260869565216,,,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.17391304347826086,0.2028985507246377,0.10144927536231885,0.07246376811594203,,,,,,,,,,,,,,,,,,,,,,,,,,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.014492753623188406,,,,,,0.028985507246376812,,,,,,,,0.043478260869565216,0.014492753623188406,0.2463768115942029,0.14492753623188406,0.2318840579710145,0.057971014492753624,0.10144927536231885,,0.014492753623188406,0.08695652173913043,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,,,,0.043478260869565216,,,,,,,,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.17391304347826086,0.2028985507246377,0.10144927536231885,0.07246376811594203,,0.0828776110000149
unweighted10.edgelist,unweighted,kols,0.2,69,470,94,0.2,True,True,inf,inf,1.0,inf,inf,inf,13845.0,2755.0,,,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.014492753623188406,,,,,,0.028985507246376812,,0.043478260869565216,0.014492753623188406,0.2463768115942029,0.14492753623188406,0.2318840579710145,0.057971014492753624,0.10144927536231885,,0.014492753623188406,0.08695652173913043,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,,,,0.043478260869565216,,,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.17391304347826086,0.2028985507246377,0.10144927536231885,0.07246376811594203,,,,,,,,,,,,,,,,,,,,,,,,0.2898550724637681,0.43478260869565216,,,,,,,,,,,0.14492753623188406,,,,,,,,0.043478260869565216,0.014492753623188406,0.028985507246376812,0.028985507246376812,,,0.014492753623188406,0.3333333333333333,0.4927536231884058,0.014492753623188406,,,,,,,,,,0.057971014492753624,,,,,,,,,0.014492753623188406,0.014492753623188406,0.043478260869565216,0.014492753623188406,0.014492753623188406,,0.005330388000004405,0.053778244000000086
unweighted10.edgelist,unweighted,random,0.2,69,470,106,0.225531914893617,True,False,inf,inf,1.0,inf,inf,inf,13845.0,2808.0,,,0.057971014492753624,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.014492753623188406,,,,,,0.028985507246376812,,0.043478260869565216,0.014492753623188406,0.2463768115942029,0.14492753623188406,0.2318840579710145,0.057971014492753624,0.10144927536231885,,0.014492753623188406,0.08695652173913043,0.043478260869565216,0.014492753623188406,0.028985507246376812,,,,,,,0.043478260869565216,,,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.17391304347826086,0.2028985507246377,0.10144927536231885,0.07246376811594203,,,,,,,,,,,,,,,,,,,,,,,,0.15942028985507245,0.37681159420289856,,,,,,,,,,,0.2898550724637681,,,,,,,,0.11594202898550725,0.057971014492753624,,,,,,0.15942028985507245,0.34782608695652173,,,,,,,,,,,0.34782608695652173,,,,,,,,0.10144927536231885,0.028985507246376812,0.014492753623188406,,,,,0.0006801119999977345,0.05469261199999664
