graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,sparsify_time,metric_time
bipartite1.edgelist,bipartite,original,0.2,15,20,,1.0,True,True,24.0,24.0,0.0,1.0,0.0,1.0,2240.0,2240.0,,0.3333333333333333,0.6666666666666666,,,,0.3333333333333333,0.6666666666666666,,,,0.004386525999962032
bipartite1.edgelist,bipartite,kols,0.2,15,20,14,0.7,True,True,24.0,43.0,0.0,1.8084634088353586,4.148927619421086,18.0,2240.0,1690.0,,0.3333333333333333,0.6666666666666666,,,0.26666666666666666,0.6,0.13333333333333333,,,0.0005353259998628346,0.002242409000018597
bipartite1.edgelist,bipartite,random,0.2,15,20,17,0.85,True,True,24.0,39.0,0.0,1.4151378079142345,1.8080291318492365,13.0,2240.0,2053.0,,0.3333333333333333,0.6666666666666666,,,0.13333333333333333,0.4666666666666667,0.4,,,0.00020555199989757966,0.0021478969999861874
bipartite1.edgelist,bipartite,k_neighbor,0.2,15,20,12,0.6,True,False,24.0,inf,0.6761904761904762,1.1075412830118159,0.129354710855503,3.0,2240.0,1092.0,,0.3333333333333333,0.6666666666666666,,,0.4666666666666667,0.4666666666666667,0.06666666666666667,,,0.00034949300015796325,0.0016494669998792233
bipartite1.edgelist,bipartite,local_degree,0.2,15,20,14,0.7,True,True,24.0,44.0,0.0,1.9027919762618253,3.75113908576911,14.666666666666666,2240.0,1947.0,,0.3333333333333333,0.6666666666666666,,,0.3333333333333333,0.4666666666666667,0.2,,,0.000305829999888374,0.0019796750000296015
bipartite1.edgelist,bipartite,mst,0.2,15,20,14,0.7,True,True,24.0,36.0,0.0,1.4176366778257536,0.6424293789554801,5.333333333333333,2240.0,708.0,,0.3333333333333333,0.6666666666666666,,,0.3333333333333333,0.4666666666666667,0.2,,,0.0011807930000031774,0.0037991319998127437
bipartite1.edgelist,bipartite,t_spanner,0.2,15,20,18,0.9,True,True,24.0,25.0,0.0,1.0389416213056195,0.02314431579897486,2.0,2240.0,1592.0,,0.3333333333333333,0.6666666666666666,,,,0.6,0.4,,,0.0014331540000966925,0.002089607000016258
bipartite2.edgelist,bipartite,original,0.2,6,6,,1.0,True,True,27.0,27.0,0.0,1.0,0.0,1.0,176.0,176.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,,0.0008852099999785423
bipartite2.edgelist,bipartite,kols,0.2,6,6,5,0.8333333333333334,True,True,27.0,31.0,0.0,1.5400352733686067,3.307859864567684,8.333333333333334,176.0,149.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,0.5,0.3333333333333333,0.16666666666666666,,,0.0003222489999643585,0.000603029000103561
bipartite2.edgelist,bipartite,random,0.2,6,6,6,1.0,True,True,27.0,27.0,0.0,1.0,0.0,1.0,176.0,176.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,0.0001254700000572484,0.0008092220000435191
bipartite2.edgelist,bipartite,k_neighbor,0.2,6,6,4,0.6666666666666666,True,False,27.0,inf,0.5333333333333333,2.095238095238095,6.498866213151929,8.333333333333334,176.0,149.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,0.6666666666666666,0.3333333333333333,,,,0.00018679999993764795,0.00046772100017733464
bipartite2.edgelist,bipartite,local_degree,0.2,6,6,5,0.8333333333333334,True,True,27.0,27.0,0.0,1.0222222222222221,0.006913580246913578,1.3333333333333333,176.0,164.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,0.5,0.3333333333333333,0.16666666666666666,,,0.00017261900006815267,0.0007394560000193451
bipartite2.edgelist,bipartite,mst,0.2,6,6,5,0.8333333333333334,True,True,27.0,27.0,0.0,1.0222222222222221,0.006913580246913578,1.3333333333333333,176.0,164.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,0.5,0.3333333333333333,0.16666666666666666,,,0.000253417000067202,0.0005525049998595932
bipartite2.edgelist,bipartite,t_spanner,0.2,6,6,5,0.8333333333333334,True,True,27.0,27.0,0.0,1.0222222222222221,0.006913580246913578,1.3333333333333333,176.0,164.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,,,0.5,0.3333333333333333,0.16666666666666666,,,0.00021870199998375028,0.0006511660001251585
bipartite3.edgelist,bipartite,original,0.2,10,14,,1.0,True,True,24.0,24.0,0.0,1.0,0.0,1.0,3330.0,3330.0,,0.3,0.6,0.1,,,0.3,0.6,0.1,,,0.0013414319998901192
bipartite3.edgelist,bipartite,kols,0.2,10,14,9,0.6428571428571429,True,True,24.0,31.0,0.0,1.698271274839902,3.733679732702385,12.5,3330.0,1811.0,,0.3,0.6,0.1,,0.6,0.1,0.2,0.1,,0.00041654400001789327,0.0012158849999650556
bipartite3.edgelist,bipartite,random,0.2,10,14,12,0.8571428571428571,True,True,24.0,28.0,0.0,1.4835867803411664,3.347159790467158,12.5,3330.0,2739.0,,0.3,0.6,0.1,,0.1,0.5,0.3,0.1,,0.00011448200007180276,0.0012330629999723897
bipartite3.edgelist,bipartite,k_neighbor,0.2,10,14,7,0.5,True,False,24.0,inf,0.6888888888888889,1.099721706864564,0.0449461914973444,1.7142857142857142,3330.0,779.0,,0.3,0.6,0.1,,0.6,0.4,,,,0.0002804869998271897,0.0008968289998847467
bipartite3.edgelist,bipartite,local_degree,0.2,10,14,9,0.6428571428571429,True,True,24.0,38.0,0.0,1.7219105011107074,3.7060010588371926,12.5,3330.0,1906.0,,0.3,0.6,0.1,,0.5,0.3,0.1,0.1,,0.0002253909999581083,0.001084909999917727
bipartite3.edgelist,bipartite,mst,0.2,10,14,9,0.6428571428571429,True,True,24.0,26.0,0.0,1.0962855948279067,0.06616011343478906,2.1818181818181817,3330.0,2307.0,,0.3,0.6,0.1,,0.5,0.3,0.1,0.1,,0.00019693099989126495,0.0009960980000869313
bipartite3.edgelist,bipartite,t_spanner,0.2,10,14,11,0.7857142857142857,True,True,24.0,25.0,0.0,1.0135390113460292,0.0018430550107182608,1.25,3330.0,3128.0,,0.3,0.6,0.1,,0.2,0.5,0.2,0.1,,0.0004746709998926235,0.0011132069998893712
bipartite4.edgelist,bipartite,original,0.2,10,9,,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,0.3,0.6,0.1,,,,0.001014231999988624
bipartite4.edgelist,bipartite,kols,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,0.3,0.6,0.1,,,0.00037622700006068044,0.0011421120000250085
bipartite4.edgelist,bipartite,random,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,0.3,0.6,0.1,,,0.00026591499999994994,0.000906862000192632
bipartite4.edgelist,bipartite,k_neighbor,0.2,10,9,7,0.7777777777777778,True,False,38.0,inf,0.6222222222222222,1.0,0.0,1.0,518.0,395.0,0.3,0.6,0.1,,,0.6,0.4,,,,0.0002709210000375606,0.0007678080000914633
bipartite4.edgelist,bipartite,local_degree,0.2,10,9,8,0.8888888888888888,True,False,38.0,inf,0.5555555555555556,1.0,0.0,1.0,518.0,515.0,0.3,0.6,0.1,,,0.5,0.4,0.1,,,0.0002062910000404372,0.0008258900002147129
