graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,sparsify_time,metric_time
bipartite1.edgelist,bipartite,original,0.2,15,20,,1.0,True,True,24.0,24.0,0.0,1.0,0.0,1.0,2240.0,2240.0,,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,0.0019645619997845643
bipartite1.edgelist,bipartite,kols,0.2,15,20,4,0.2,True,False,24.0,inf,0.9047619047619048,0.9069444444444444,0.015202546296296296,1.0,2240.0,99.0,,0.3333333333333333,0.6666666666666666,,,0.6666666666666666,0.2,0.06666666666666667,0.06666666666666667,,,0.0038643520001642173,0.0008675960000346095
bipartite1.edgelist,bipartite,random,0.2,15,20,17,0.85,True,True,24.0,39.0,0.0,1.4151378079142345,1.8080291318492365,13.0,2240.0,2053.0,,0.3333333333333333,0.6666666666666666,,,,0.13333333333333333,0.4666666666666667,0.4,,,6.283399989115424e-05,0.0009405149999111018
bipartite1.edgelist,bipartite,k_neighbor,0.2,15,20,12,0.6,True,False,24.0,inf,0.6761904761904762,1.1075412830118159,0.129354710855503,3.0,2240.0,1092.0,,0.3333333333333333,0.6666666666666666,,,,0.4666666666666667,0.4666666666666667,0.06666666666666667,,,0.00014387399983206706,0.0006073949998608441
bipartite1.edgelist,bipartite,local_degree,0.2,15,20,14,0.7,True,True,24.0,44.0,0.0,1.9027919762618253,3.75113908576911,14.666666666666666,2240.0,1947.0,,0.3333333333333333,0.6666666666666666,,,,0.3333333333333333,0.4666666666666667,0.2,,,0.00013267100007396948,0.0008005290001165122
bipartite1.edgelist,bipartite,mst,0.2,15,20,14,0.7,True,True,24.0,36.0,0.0,1.4176366778257536,0.6424293789554801,5.333333333333333,2240.0,708.0,,0.3333333333333333,0.6666666666666666,,,,0.3333333333333333,0.4666666666666667,0.2,,,0.00040996699999595876,0.0007997860000159562
bipartite1.edgelist,bipartite,t_spanner,0.2,15,20,18,0.9,True,True,24.0,25.0,0.0,1.0389416213056195,0.02314431579897486,2.0,2240.0,1592.0,,0.3333333333333333,0.6666666666666666,,,,,0.6,0.4,,,0.0005716269999993528,0.0007936100000733859
bipartite2.edgelist,bipartite,original,0.2,10,9,,1.0,False,False,inf,inf,0.5333333333333333,1.0,0.0,1.0,336.0,336.0,0.3,0.6,0.1,,,,0.3,0.6,0.1,,,,0.0004887170000529295
bipartite2.edgelist,bipartite,kols,0.2,10,9,6,0.6666666666666666,False,False,inf,inf,0.7333333333333333,0.9608918128654972,0.006224538105741933,1.0,336.0,215.0,0.3,0.6,0.1,,,0.2,0.4,0.4,,,,0.0004135389999646577,0.0002721379999002238
bipartite2.edgelist,bipartite,random,0.2,10,9,9,1.0,False,False,inf,inf,0.5333333333333333,1.0,0.0,1.0,336.0,336.0,0.3,0.6,0.1,,,,0.3,0.6,0.1,,,9.717700004330254e-05,0.00030536199983544066
bipartite2.edgelist,bipartite,k_neighbor,0.2,10,9,7,0.7777777777777778,False,False,inf,inf,0.7111111111111111,1.5897435897435899,3.7975016436554907,8.333333333333334,336.0,309.0,0.3,0.6,0.1,,,,0.6,0.4,,,,9.764600008566049e-05,0.00025363800000377523
bipartite2.edgelist,bipartite,local_degree,0.2,10,9,8,0.8888888888888888,False,False,inf,inf,0.5333333333333333,1.0158730158730158,0.005039052658100272,1.3333333333333333,336.0,324.0,0.3,0.6,0.1,,,,0.5,0.4,0.1,,,8.038700002543919e-05,0.0002558670000780694
bipartite2.edgelist,bipartite,mst,0.2,10,9,8,0.8888888888888888,False,False,inf,inf,0.5333333333333333,1.0158730158730158,0.005039052658100272,1.3333333333333333,336.0,324.0,0.3,0.6,0.1,,,,0.5,0.4,0.1,,,6.937800003470329e-05,0.0002737459999480052
bipartite2.edgelist,bipartite,t_spanner,0.2,10,9,8,0.8888888888888888,False,False,inf,inf,0.5333333333333333,1.0158730158730158,0.005039052658100272,1.3333333333333333,336.0,324.0,0.3,0.6,0.1,,,,0.5,0.4,0.1,,,0.00013019800007896265,0.00025506299994049186
bipartite3.edgelist,bipartite,original,0.2,10,14,,1.0,True,True,24.0,24.0,0.0,1.0,0.0,1.0,3330.0,3330.0,,0.3,0.6,0.1,,,,0.3,0.6,0.1,,,0.0008107349999590951
bipartite3.edgelist,bipartite,kols,0.2,10,14,2,0.14285714285714285,True,False,24.0,inf,0.9333333333333333,0.9153439153439153,0.0037512947565857646,1.0,3330.0,194.0,,0.3,0.6,0.1,,0.7,0.2,0.1,,,,0.000532440999904793,0.0005788119999579067
bipartite3.edgelist,bipartite,random,0.2,10,14,12,0.8571428571428571,True,True,24.0,28.0,0.0,1.4835867803411664,3.347159790467158,12.5,3330.0,2739.0,,0.3,0.6,0.1,,,0.1,0.5,0.3,0.1,,5.810300012853986e-05,0.0004658919999656064
bipartite3.edgelist,bipartite,k_neighbor,0.2,10,14,7,0.5,True,False,24.0,inf,0.6888888888888889,1.099721706864564,0.0449461914973444,1.7142857142857142,3330.0,779.0,,0.3,0.6,0.1,,,0.6,0.4,,,,0.00010211200014964561,0.0003581519999897864
bipartite3.edgelist,bipartite,local_degree,0.2,10,14,9,0.6428571428571429,True,True,24.0,38.0,0.0,1.7219105011107074,3.7060010588371926,12.5,3330.0,1906.0,,0.3,0.6,0.1,,,0.5,0.3,0.1,0.1,,8.494600001540675e-05,0.0003865930000301887
bipartite3.edgelist,bipartite,mst,0.2,10,14,9,0.6428571428571429,True,True,24.0,26.0,0.0,1.0962855948279067,0.06616011343478906,2.1818181818181817,3330.0,2307.0,,0.3,0.6,0.1,,,0.5,0.3,0.1,0.1,,7.222700014608563e-05,0.0003800810000029742
bipartite3.edgelist,bipartite,t_spanner,0.2,10,14,11,0.7857142857142857,True,True,24.0,25.0,0.0,1.0135390113460292,0.0018430550107182608,1.25,3330.0,3128.0,,0.3,0.6,0.1,,,0.2,0.5,0.2,0.1,,0.00016522200007784704,0.0003960980000101699
bipartite4.edgelist,bipartite,original,0.2,10,9,,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,,0.3,0.6,0.1,,,,0.00037393500019788917
bipartite4.edgelist,bipartite,kols,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,,0.3,0.6,0.1,,,0.0003761329999178997,0.00037355899985414
bipartite4.edgelist,bipartite,random,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,,0.3,0.6,0.1,,,4.384699991533125e-05,0.0003625280000960629
bipartite4.edgelist,bipartite,k_neighbor,0.2,10,9,7,0.7777777777777778,True,False,38.0,inf,0.6222222222222222,1.0,0.0,1.0,518.0,395.0,0.3,0.6,0.1,,,,0.6,0.4,,,,9.14589998046722e-05,0.00028995500019846077
bipartite4.edgelist,bipartite,local_degree,0.2,10,9,8,0.8888888888888888,True,False,38.0,inf,0.5555555555555556,1.0,0.0,1.0,518.0,515.0,0.3,0.6,0.1,,,,0.5,0.4,0.1,,,0.0001497040000231209,0.00031855900010668847
bipartite4.edgelist,bipartite,mst,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,,0.3,0.6,0.1,,,7.482099999833736e-05,0.0004018770000584482
bipartite4.edgelist,bipartite,t_spanner,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,,0.3,0.6,0.1,,,0.0001674000000093656,0.00038401899996642896
bipartite5.edgelist,bipartite,original,0.2,10,20,,1.0,True,True,15.0,15.0,0.0,1.0,0.0,1.0,13160.0,13160.0,,,0.3,0.4,0.3,,,,0.3,0.4,0.3,,0.0009078930002033303
bipartite5.edgelist,bipartite,kols,0.2,10,20,4,0.2,True,False,15.0,inf,0.7777777777777778,1.7741414141414142,3.5313058769513312,7.0,13160.0,1277.0,,,0.3,0.4,0.3,0.5,0.3,0.1,0.1,,,0.00040969199994833616,0.0003941339998618787
bipartite5.edgelist,bipartite,random,0.2,10,20,17,0.85,True,True,15.0,19.0,0.0,1.4087149270482604,1.518121633343032,9.0,13160.0,12797.0,,,0.3,0.4,0.3,,,0.2,0.3,0.4,0.1,4.6137000026647e-05,0.0004700750000665721
bipartite5.edgelist,bipartite,k_neighbor,0.2,10,20,7,0.35,True,False,15.0,inf,0.6888888888888889,1.7100468975468974,0.5931593731194651,3.1666666666666665,13160.0,5066.0,,,0.3,0.4,0.3,,0.6,0.4,,,,9.958900000128779e-05,0.00033787300003496057
bipartite5.edgelist,bipartite,local_degree,0.2,10,20,9,0.45,True,True,15.0,19.0,0.0,1.9011134544467878,4.111343138777849,12.0,13160.0,3288.0,,,0.3,0.4,0.3,,0.8,,,,0.2,8.825300005810277e-05,0.00048147199981940503
bipartite5.edgelist,bipartite,mst,0.2,10,20,9,0.45,True,True,15.0,21.0,0.0,1.2290761090761095,0.09010927976657813,2.111111111111111,13160.0,4961.0,,,0.3,0.4,0.3,,0.4,0.4,0.2,,,8.248300014201959e-05,0.00042899499999293766
bipartite5.edgelist,bipartite,t_spanner,0.2,10,20,10,0.5,True,True,15.0,21.0,0.0,1.1786726853393523,0.06938619675000895,2.0,13160.0,5690.0,,,0.3,0.4,0.3,,0.2,0.6,0.2,,,0.00019151599985889334,0.00041715100019246165
