graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,sparsify_time,metric_time
directed1.edgelist,directed,original,0.2,11,26,,1.0,True,True,inf,inf,1.0,inf,inf,inf,22426.0,22426.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,,0.6363636363636364,0.36363636363636365,,,,,0.6363636363636364,0.36363636363636365,,,,0.0028171080000447546
directed1.edgelist,directed,kols,0.2,11,26,10,0.38461538461538464,True,True,inf,inf,1.0,inf,inf,inf,22426.0,12954.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,0.09090909090909091,0.9090909090909091,,,,,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,,,0.0007146440000269649,0.002075002000083259
directed1.edgelist,directed,random,0.2,11,26,23,0.8846153846153846,True,True,inf,inf,1.0,inf,inf,inf,22426.0,20866.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,0.18181818181818182,0.5454545454545454,0.2727272727272727,,,,0.18181818181818182,0.5454545454545454,0.2727272727272727,,,0.00016617999995105492,0.0021774859999368346
directed1.edgelist,directed,k_neighbor,0.2,11,26,9,0.34615384615384615,True,False,inf,inf,0.509090909090909,inf,inf,inf,22426.0,15180.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,0.45454545454545453,0.45454545454545453,0.09090909090909091,,,,,,,,,,,,,,,0.00044456000000536733,0.0015431289998559805
directed1.edgelist,directed,local_degree,0.2,11,26,11,0.4230769230769231,True,True,inf,inf,1.0,inf,inf,inf,22426.0,11109.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.18181818181818182,,,,1.0,,,,,0.000303833000089071,0.0017843630000697885
directed1.edgelist,directed,mst,0.2,11,26,10,0.38461538461538464,True,True,inf,30.0,0.0,inf,inf,inf,22426.0,4725.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,0.36363636363636365,0.45454545454545453,0.18181818181818182,,,,,,,,,,,,,,,0.0005443060001653066,0.001649012000143557
directed1.edgelist,directed,t_spanner,0.2,11,26,24,0.9230769230769231,True,True,inf,inf,1.0,inf,inf,inf,22426.0,5899.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,0.18181818181818182,0.45454545454545453,0.36363636363636365,,,,0.18181818181818182,0.45454545454545453,0.36363636363636365,,,0.0008563589999539545,0.0018624570000156382
directed2.edgelist,directed,original,0.2,10,19,,1.0,True,True,inf,inf,1.0,inf,inf,inf,17200.0,17200.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.1,0.1,0.6,0.2,,,,0.3,0.5,0.2,,,,0.001747790999843346
directed2.edgelist,directed,kols,0.2,10,19,9,0.47368421052631576,True,False,inf,inf,1.0,inf,inf,inf,17200.0,7560.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.1,0.9,,,,,0.4,0.3,0.3,,,,0.0004058600000007573,0.0015698529998644517
directed2.edgelist,directed,random,0.2,10,19,16,0.8421052631578947,True,True,inf,inf,1.0,inf,inf,inf,17200.0,12774.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.1,0.3,0.5,0.1,,,,0.4,0.6,,,,0.00012271300010979758,0.0019231240000863181
directed2.edgelist,directed,k_neighbor,0.2,10,19,7,0.3684210526315789,True,False,inf,inf,0.7111111111111111,inf,inf,inf,17200.0,5838.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,0.6,0.4,,,,,,,,,,,,,,,,0.00044277899996814085,0.001165816999900926
directed2.edgelist,directed,local_degree,0.2,10,19,10,0.5263157894736842,True,True,inf,inf,1.0,inf,inf,inf,17200.0,12437.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.5,0.1,0.3,0.1,,,,1.0,,,,,0.00021030799985055637,0.0012298599999667204
directed2.edgelist,directed,mst,0.2,10,19,9,0.47368421052631576,True,True,inf,18.0,0.0,inf,inf,inf,17200.0,7772.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,0.6,0.2,0.1,,0.1,,,,,,,,,,,,,0.000527040999941164,0.0018282749999798398
directed2.edgelist,directed,t_spanner,0.2,10,19,20,1.0526315789473684,True,True,inf,inf,1.0,inf,inf,inf,17200.0,8472.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,,0.5,0.2,0.2,,0.1,,0.5,0.2,0.2,,0.1,0.0010691429999951652,0.001591926999935822
directed3.edgelist,directed,original,0.2,9,10,,1.0,True,True,inf,inf,1.0,inf,inf,inf,2262.0,2262.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,,,,,,,0.8888888888888888,0.1111111111111111,,,,,0.8888888888888888,0.1111111111111111,,,,,0.0015157549999003095
directed3.edgelist,directed,kols,0.2,9,10,8,0.8,True,True,inf,inf,1.0,inf,inf,inf,2262.0,2162.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,,,,,,0.1111111111111111,0.8888888888888888,,,,,0.2222222222222222,0.6666666666666666,0.1111111111111111,,,,0.0003539450001426303,0.001170735000187051
directed3.edgelist,directed,random,0.2,9,10,9,0.9,True,True,inf,inf,1.0,inf,inf,inf,2262.0,1821.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,,,,,,0.1111111111111111,0.7777777777777778,0.1111111111111111,,,,0.1111111111111111,0.7777777777777778,0.1111111111111111,,,,9.975700004360988e-05,0.0011456740000994614
directed3.edgelist,directed,k_neighbor,0.2,9,10,7,0.7,True,False,inf,inf,0.5,inf,inf,inf,2262.0,1433.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,0.4444444444444444,0.5555555555555556,,,,,,,,,,,,,,,,0.0004816309999569057,0.0009116840001297533
