graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,sparsify_time,metric_time
directed1.edgelist,directed,original,0.2,11,26,,1.0,True,True,inf,inf,1.0,inf,inf,inf,22426.0,22426.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,,0.6363636363636364,0.36363636363636365,,,,,0.6363636363636364,0.36363636363636365,,,,0.0010524709999799597
directed1.edgelist,directed,kols,0.2,11,26,10,0.38461538461538464,True,True,inf,inf,1.0,inf,inf,inf,22426.0,8048.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,0.09090909090909091,0.9090909090909091,,,,,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,,,0.00011328000005050853,0.0006156160000045929
directed1.edgelist,directed,random,0.2,11,26,23,0.8846153846153846,True,True,inf,inf,1.0,inf,inf,inf,22426.0,20866.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,0.18181818181818182,0.5454545454545454,0.2727272727272727,,,,0.18181818181818182,0.5454545454545454,0.2727272727272727,,,5.273400006444717e-05,0.0007091490000448175
directed1.edgelist,directed,k_neighbor,0.2,11,26,9,0.34615384615384615,True,False,inf,inf,0.509090909090909,inf,inf,inf,22426.0,15180.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,0.45454545454545453,0.45454545454545453,0.09090909090909091,,,,,,,,,,,,,,,0.00016946600010214752,0.0005195119999825693
directed1.edgelist,directed,local_degree,0.2,11,26,11,0.4230769230769231,True,True,inf,inf,1.0,inf,inf,inf,22426.0,11109.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.18181818181818182,,,,1.0,,,,,8.703699995749048e-05,0.0005515699999705248
directed1.edgelist,directed,mst,0.2,11,26,10,0.38461538461538464,True,True,inf,30.0,0.0,inf,inf,inf,22426.0,4725.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,0.36363636363636365,0.45454545454545453,0.18181818181818182,,,,,,,,,,,,,,,0.00014487399994322914,0.0006212430000687164
directed1.edgelist,directed,t_spanner,0.2,11,26,24,0.9230769230769231,True,True,inf,inf,1.0,inf,inf,inf,22426.0,5899.0,,,0.6363636363636364,0.36363636363636365,,,0.6363636363636364,0.36363636363636365,,,,,,,,,0.18181818181818182,0.45454545454545453,0.36363636363636365,,,,0.18181818181818182,0.45454545454545453,0.36363636363636365,,,0.00030394599991723226,0.0006519460000617983
directed2.edgelist,directed,original,0.2,10,19,,1.0,True,True,inf,inf,1.0,inf,inf,inf,17200.0,17200.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.1,0.1,0.6,0.2,,,,0.3,0.5,0.2,,,,0.0005859409999402487
directed2.edgelist,directed,kols,0.2,10,19,9,0.47368421052631576,True,False,inf,inf,1.0,inf,inf,inf,17200.0,3289.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.2,0.7,0.1,,,,0.3,0.5,0.2,,,,8.304200002839934e-05,0.0004682609999235865
directed2.edgelist,directed,random,0.2,10,19,16,0.8421052631578947,True,True,inf,inf,1.0,inf,inf,inf,17200.0,12774.0,0.1,0.1,0.6,0.2,,0.3,0.5,0.2,,,,,,,,0.1,0.3,0.5,0.1,,,,0.4,0.6,,,,3.995899999154062e-05,0.0004960170000458675
