graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,sparsify_time,metric_time
undirected1.edgelist,undirected,original,0.2,10,20,,1.0,True,True,14.0,14.0,0.0,1.0,0.0,1.0,11614.0,11614.0,,,0.2,0.6,0.2,,,,0.2,0.6,0.2,,0.0015059929999097221
undirected1.edgelist,undirected,kols,0.2,10,20,9,0.45,True,True,14.0,30.0,0.0,3.006568554901889,14.586810553239674,26.0,11614.0,2314.0,,,0.2,0.6,0.2,,0.6,,0.4,,,0.0004731829999400361,0.0014911929999925633
undirected1.edgelist,undirected,random,0.2,10,20,17,0.85,True,True,14.0,20.0,0.0,1.3401012567679231,0.7868102857780424,6.5,11614.0,10358.0,,,0.2,0.6,0.2,,,0.2,0.2,0.6,,0.00020302300004004792,0.0013785030000690313
undirected1.edgelist,undirected,k_neighbor,0.2,10,20,9,0.45,True,False,14.0,inf,0.4666666666666667,2.1701741545491546,4.262729042315492,10.5,11614.0,4156.0,,,0.2,0.6,0.2,,0.3,0.6,0.1,,,0.00031724300015412155,0.0011060520000683027
undirected1.edgelist,undirected,local_degree,0.2,10,20,9,0.45,True,True,14.0,29.0,0.0,2.544472071138738,13.270821453618007,24.0,11614.0,6550.0,,,0.2,0.6,0.2,,0.7,0.1,,0.1,0.1,0.0004425289998835069,0.001198946000158685
undirected1.edgelist,undirected,mst,0.2,10,20,9,0.45,True,True,14.0,26.0,0.0,1.3710087443420773,0.30300765884359165,3.4,11614.0,4571.0,,,0.2,0.6,0.2,,0.3,0.6,0.1,,,0.00024688000007699884,0.0011308839998491749
undirected1.edgelist,undirected,t_spanner,0.2,10,20,11,0.55,True,True,14.0,16.0,0.0,1.0807797141130473,0.03644172778750133,1.8333333333333333,11614.0,5354.0,,,0.2,0.6,0.2,,0.1,0.6,0.3,,,0.0006366580000758404,0.0018630439999469672
undirected2.edgelist,undirected,original,0.2,10,12,,1.0,True,True,26.0,26.0,0.0,1.0,0.0,1.0,4740.0,4740.0,0.2,0.2,0.6,,,,0.2,0.2,0.6,,,,0.0012285140001040418
undirected2.edgelist,undirected,kols,0.2,10,12,9,0.75,True,True,26.0,45.0,0.0,1.6767588446088244,1.7589251192120186,7.0,4740.0,2810.0,0.2,0.2,0.6,,,,0.4,0.4,0.2,,,0.0003916999999091786,0.0014308629999959521
undirected2.edgelist,undirected,random,0.2,10,12,10,0.8333333333333334,True,False,26.0,inf,0.2,1.2710936938878117,0.6986940420763256,5.0,4740.0,3804.0,0.2,0.2,0.6,,,0.1,0.2,0.3,0.4,,,0.00016045699999267526,0.001608443999884912
undirected2.edgelist,undirected,k_neighbor,0.2,10,12,9,0.75,True,False,26.0,inf,0.4666666666666667,2.5761116946778713,31.32971111047056,29.0,4740.0,4548.0,0.2,0.2,0.6,,,,0.3,0.6,0.1,,,0.00032239000006484275,0.0008723539999664354
undirected2.edgelist,undirected,local_degree,0.2,10,12,9,0.75,True,True,26.0,42.0,0.0,1.3746488007894881,0.6853639516556901,5.0,4740.0,3150.0,0.2,0.2,0.6,,,,0.4,0.4,0.2,,,0.000222611000026518,0.0010694689999581897
undirected2.edgelist,undirected,mst,0.2,10,12,9,0.75,True,True,26.0,26.0,0.0,1.127900442126785,0.09491868674007314,2.3333333333333335,4740.0,3870.0,0.2,0.2,0.6,,,,0.6,,0.4,,,0.0001956710000285966,0.0009659660001943848
undirected2.edgelist,undirected,t_spanner,0.2,10,12,10,0.8333333333333334,True,True,26.0,26.0,0.0,1.0621597013860442,0.0370044307426139,2.0,4740.0,4014.0,0.2,0.2,0.6,,,,0.4,0.2,0.4,,,0.00043469999991430086,0.0011115029999473336
undirected3.edgelist,undirected,original,0.2,10,10,,1.0,True,True,29.0,29.0,0.0,1.0,0.0,1.0,1484.0,1484.0,0.2,0.6,0.2,,,,0.2,0.6,0.2,,,,0.001623103000156334
undirected3.edgelist,undirected,kols,0.2,10,10,9,0.9,True,True,29.0,35.0,0.0,1.1767450257319538,0.12106794627483362,2.5714285714285716,1484.0,1036.0,0.2,0.6,0.2,,,,0.3,0.6,0.1,,,0.0005057579999174777,0.0012715029999981198
undirected3.edgelist,undirected,random,0.2,10,10,9,0.9,True,False,29.0,inf,0.2,1.0,0.0,1.0,1484.0,1356.0,0.2,0.6,0.2,,,0.1,0.2,0.5,0.2,,,0.00011289700000816083,0.0009938929999862012
undirected3.edgelist,undirected,k_neighbor,0.2,10,10,9,0.9,True,False,29.0,inf,0.5333333333333333,1.0,0.0,1.0,1484.0,1480.0,0.2,0.6,0.2,,,,0.2,0.8,,,,0.0002722340000218537,0.0007969189998675574
undirected3.edgelist,undirected,local_degree,0.2,10,10,9,0.9,True,True,29.0,29.0,0.0,1.0916666666666666,0.21972222222222276,4.0,1484.0,1239.0,0.2,0.6,0.2,,,,0.4,0.4,0.2,,,0.00028936900002918264,0.001012613999819223
undirected3.edgelist,undirected,mst,0.2,10,10,9,0.9,True,True,29.0,32.0,0.0,1.0464929248916177,0.013912032182782412,1.5,1484.0,1394.0,0.2,0.6,0.2,,,,0.3,0.6,0.1,,,0.0002101239999774407,0.000979094000058467
undirected3.edgelist,undirected,t_spanner,0.2,10,10,9,0.9,True,True,29.0,32.0,0.0,1.0464929248916177,0.013912032182782412,1.5,1484.0,1394.0,0.2,0.6,0.2,,,,0.3,0.6,0.1,,,0.23694161599996733,0.0012744789999032946
undirected4.edgelist,undirected,original,0.2,9,8,,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.001758291999976791
undirected4.edgelist,undirected,kols,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,0.000359427999910622,0.0009319460000369872
undirected4.edgelist,undirected,random,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,0.00012794599979315535,0.0008741669998926227
undirected4.edgelist,undirected,k_neighbor,0.2,9,8,6,0.75,True,False,32.0,inf,0.6666666666666666,1.0,0.0,1.0,2390.0,2363.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.7777777777777778,0.1111111111111111,0.1111111111111111,,,0.0002261619999899267,0.0009168950000457698
undirected4.edgelist,undirected,local_degree,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,0.00020815800007767393,0.0008103080001546914
undirected4.edgelist,undirected,mst,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,0.00016919800009418395,0.0008979690001069685
undirected4.edgelist,undirected,t_spanner,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,0.00028118199998061755,0.0007862450001994148
undirected5.edgelist,undirected,original,0.2,6,5,,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,,0.0006552810000357567
undirected5.edgelist,undirected,kols,0.2,6,5,5,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,0.0003147239999634621,0.0005948420000549959
