graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,sparsify_time,metric_time
unweighted1.edgelist,unweighted,original,0.2,9,14,,1.0,True,True,inf,inf,1.0,inf,inf,inf,12.0,12.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,,0.4444444444444444,0.5555555555555556,,,,,0.4444444444444444,0.5555555555555556,,,,,0.0007052079999994021
unweighted1.edgelist,unweighted,kols,0.2,9,14,8,0.5714285714285714,True,True,inf,inf,1.0,inf,inf,inf,12.0,3.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,0.1111111111111111,0.8888888888888888,,,,,0.2222222222222222,0.6666666666666666,0.1111111111111111,,,,0.00013230200011093984,0.0004726199999822711
unweighted1.edgelist,unweighted,random,0.2,9,14,12,0.8571428571428571,True,True,inf,inf,1.0,inf,inf,inf,12.0,10.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,0.1111111111111111,0.4444444444444444,0.4444444444444444,,,,4.274699995221454e-05,0.0005206440000620205
unweighted1.edgelist,unweighted,k_neighbor,0.2,9,14,8,0.5714285714285714,True,True,inf,5.0,0.0,inf,inf,inf,12.0,6.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.3333333333333333,0.2222222222222222,,,,,,,,,,,,,,,0.0001540080002087052,0.00043265000022074673
unweighted1.edgelist,unweighted,local_degree,0.2,9,14,9,0.6428571428571429,True,True,inf,inf,1.0,inf,inf,inf,12.0,8.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,1.0,,,,,8.078600012595416e-05,0.0006282089998421725
unweighted1.edgelist,unweighted,mst,0.2,9,14,8,0.5714285714285714,True,True,inf,4.0,0.0,inf,inf,inf,12.0,9.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,,,,,,,,,,,,,,0.00011815199968623347,0.00040088800005833036
unweighted1.edgelist,unweighted,t_spanner,0.2,9,14,22,1.5714285714285714,True,True,inf,inf,1.0,inf,inf,inf,12.0,11.0,,0.4444444444444444,0.5555555555555556,,,0.4444444444444444,0.5555555555555556,,,,,,,,,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.1111111111111111,,,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.1111111111111111,,0.00025147599990305025,0.0004920070000480337
unweighted2.edgelist,unweighted,original,0.2,10,20,,1.0,True,True,inf,inf,1.0,inf,inf,inf,54.0,54.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,,,,,,,0.2,0.6,0.2,,,0.3,,0.2,0.4,0.1,,,0.0007816960001036932
unweighted2.edgelist,unweighted,kols,0.2,10,20,9,0.45,True,True,inf,inf,1.0,inf,inf,inf,54.0,21.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,,,,,,0.1,0.9,,,,,0.5,0.2,0.2,0.1,,,0.0002067380000880803,0.0006370299997797702
unweighted2.edgelist,unweighted,random,0.2,10,20,17,0.85,True,False,inf,inf,1.0,inf,inf,inf,54.0,32.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,,,,,,0.1,0.3,0.4,0.2,,,0.3,0.1,0.3,0.2,0.1,,4.958699992130278e-05,0.0005204489998504869
unweighted2.edgelist,unweighted,k_neighbor,0.2,10,20,8,0.4,True,False,inf,inf,0.5333333333333333,inf,inf,inf,54.0,24.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,0.5,0.4,0.1,,,,,,,,,,,,,,,0.00016148099985002773,0.0004319960003158485
unweighted2.edgelist,unweighted,local_degree,0.2,10,20,7,0.35,True,False,inf,inf,1.0,inf,inf,inf,54.0,8.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,,,,,,0.6,0.2,0.1,0.1,,,0.3,0.7,,,,,8.146000027409173e-05,0.0005411339998317999
unweighted2.edgelist,unweighted,mst,0.2,10,20,9,0.45,True,True,inf,4.0,0.0,inf,inf,inf,54.0,30.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,0.6,0.2,0.1,,0.1,,,,,,,,,,,,,0.00013443700026982697,0.0005291679999572807
unweighted2.edgelist,unweighted,t_spanner,0.2,10,20,28,1.4,True,True,inf,inf,1.0,inf,inf,inf,54.0,35.0,,0.2,0.6,0.2,0.3,,0.2,0.4,0.1,,,,,,,0.2,0.2,0.3,0.2,0.1,,0.2,0.2,0.3,0.2,0.1,0.00041223100015486125,0.0006174489999466459
unweighted3.edgelist,unweighted,original,0.2,10,10,,1.0,True,True,inf,inf,1.0,inf,inf,inf,8.0,8.0,0.1,0.8,0.1,,0.1,0.8,0.1,,,,,,,,0.1,0.8,0.1,,,,0.1,0.8,0.1,,,,,0.00048642199999449076
unweighted3.edgelist,unweighted,kols,0.2,10,10,9,0.9,True,False,inf,inf,1.0,inf,inf,inf,8.0,1.0,0.1,0.8,0.1,,0.1,0.8,0.1,,,,,,,,0.2,0.7,0.1,,,,0.2,0.7,0.1,,,,0.00010089799980050884,0.00047110800005611964
unweighted3.edgelist,unweighted,random,0.2,10,10,9,0.9,True,False,inf,inf,1.0,inf,inf,inf,8.0,7.0,0.1,0.8,0.1,,0.1,0.8,0.1,,,,,,,,0.2,0.7,0.1,,,,0.2,0.7,0.1,,,,4.102100001546205e-05,0.00044950500023333007
unweighted3.edgelist,unweighted,k_neighbor,0.2,10,10,7,0.7,True,False,inf,inf,0.7111111111111111,inf,inf,inf,8.0,6.0,0.1,0.8,0.1,,0.1,0.8,0.1,,,0.6,0.4,,,,,,,,,,,,,,,,0.00023406799982694793,0.00033490599980723346
unweighted3.edgelist,unweighted,local_degree,0.2,10,10,9,0.9,True,True,inf,inf,1.0,inf,inf,inf,8.0,7.0,0.1,0.8,0.1,,0.1,0.8,0.1,,,,,,,,0.2,0.7,0.1,,,,0.1,0.9,,,,,0.00010505399995963671,0.00039006699989840854
unweighted3.edgelist,unweighted,mst,0.2,10,10,9,0.9,True,True,inf,8.0,0.0,inf,inf,inf,8.0,7.0,0.1,0.8,0.1,,0.1,0.8,0.1,,,0.3,0.6,0.1,,,,,,,,,,,,,,,0.00014071500027057482,0.0003853709999930288
unweighted3.edgelist,unweighted,t_spanner,0.2,10,10,20,2.0,True,True,inf,inf,1.0,inf,inf,inf,8.0,8.0,0.1,0.8,0.1,,0.1,0.8,0.1,,,,,,,,,0.2,0.6,0.2,,,,0.2,0.6,0.2,,,0.00029004699990764493,0.000555456999791204
unweighted4.edgelist,unweighted,original,0.2,8,7,,1.0,True,True,inf,inf,1.0,inf,inf,inf,2.0,2.0,0.125,0.875,,,0.125,0.875,,,,,,,,,0.125,0.875,,,,,0.125,0.875,,,,,,0.000711466000211658
unweighted4.edgelist,unweighted,kols,0.2,8,7,7,1.0,True,True,inf,inf,1.0,inf,inf,inf,2.0,1.0,0.125,0.875,,,0.125,0.875,,,,,,,,,0.125,0.875,,,,,0.125,0.875,,,,,0.00028882199967483757,0.0004171929999756685
unweighted4.edgelist,unweighted,random,0.2,8,7,7,1.0,True,True,inf,inf,1.0,inf,inf,inf,2.0,2.0,0.125,0.875,,,0.125,0.875,,,,,,,,,0.125,0.875,,,,,0.125,0.875,,,,,3.42009998348658e-05,0.0003503630000523117
