graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,sparsify_time,metric_time
directed1.edgelist,directed,original,0.2,8,8,,1.0,True,True,inf,inf,1.0,inf,inf,inf,1552.0,1552.0,0.125,0.75,0.125,,,,1.0,,,,,,,,0.125,0.75,0.125,,,,,1.0,,,,,,0.0008573420000175247
directed1.edgelist,directed,kols,0.2,8,8,7,0.875,True,True,inf,inf,1.0,inf,inf,inf,1552.0,1542.0,0.125,0.75,0.125,,,,1.0,,,,,,,,0.125,0.875,,,,,0.125,0.875,,,,,0.0002172130007238593,0.00034545799917395925
directed1.edgelist,directed,random,0.2,8,8,1,0.125,True,False,inf,inf,1.0,inf,inf,inf,1552.0,18.0,0.125,0.75,0.125,,,,1.0,,,,,,,,0.875,0.125,,,,,0.875,0.125,,,,,2.884500008804025e-05,0.00027660599971568445
directed1.edgelist,directed,k_neighbor,0.2,8,8,6,0.75,True,False,inf,inf,0.42857142857142855,inf,inf,inf,1552.0,1509.0,0.125,0.75,0.125,,,,1.0,,,,0.625,0.25,0.125,,,,,,,,,,,,,,0.0005123049995745532,0.00031797599967831047
directed1.edgelist,directed,local_degree,0.2,8,8,8,1.0,True,True,inf,inf,1.0,inf,inf,inf,1552.0,1552.0,0.125,0.75,0.125,,,,1.0,,,,,,,,0.125,0.75,0.125,,,,,1.0,,,,,8.116400022117887e-05,0.0010117949996129028
directed1.edgelist,directed,mst,0.2,8,8,7,0.875,True,True,inf,27.0,0.0,inf,inf,inf,1552.0,1542.0,0.125,0.75,0.125,,,,1.0,,,,0.25,0.75,,,,,,,,,,,,,,,9.181499990518205e-05,0.00031614199997420656
directed1.edgelist,directed,t_spanner,0.2,8,8,16,2.0,True,True,inf,inf,1.0,inf,inf,inf,1552.0,1552.0,0.125,0.75,0.125,,,,1.0,,,,,,,,,0.125,0.75,0.125,,,,0.125,0.75,0.125,,,0.00016005499946913915,0.000429817000622279
directed10.edgelist,directed,original,0.2,18,27,,1.0,True,True,inf,inf,1.0,inf,inf,inf,115814.166644631,115814.166644631,0.16666666666666666,0.5,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.05555555555555555,,,,,0.16666666666666666,0.5,0.05555555555555555,0.2222222222222222,0.05555555555555555,,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.05555555555555555,,,0.0011287779998383485
directed10.edgelist,directed,kols,0.2,18,27,17,0.6296296296296297,True,True,inf,inf,1.0,inf,inf,inf,115814.166644631,92983.56716091701,0.16666666666666666,0.5,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.05555555555555555,,,,,0.3333333333333333,0.4444444444444444,0.16666666666666666,0.05555555555555555,,,0.2777777777777778,0.5,0.2222222222222222,,,,0.0003802430001087487,0.0007153810001909733
directed10.edgelist,directed,random,0.2,18,27,6,0.2222222222222222,True,False,inf,inf,1.0,inf,inf,inf,115814.166644631,21081.127667466008,0.16666666666666666,0.5,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.1111111111111111,0.05555555555555555,,,,,0.7222222222222222,0.2222222222222222,0.05555555555555555,,,,0.6666666666666666,0.3333333333333333,,,,,4.6429000576608814e-05,0.0007143390002966044
