graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,sparsify_time,metric_time
undirected1.edgelist,undirected,original,0.2,6,7,,1.0,True,True,15.0,15.0,0.0,1.0,0.0,1.0,296.0,296.0,,0.6666666666666666,0.3333333333333333,,,,,,0.6666666666666666,0.3333333333333333,,,,,0.0003196780007783673
undirected1.edgelist,undirected,kols,0.2,6,7,5,0.7142857142857143,True,True,15.0,16.0,0.0,1.0708994708994708,0.04074466000391925,1.7777777777777777,296.0,187.0,,0.6666666666666666,0.3333333333333333,,,,,0.6666666666666666,,0.3333333333333333,,,,0.000322873999721196,0.0002405279992672149
undirected1.edgelist,undirected,random,0.2,6,7,1,0.14285714285714285,True,False,15.0,inf,0.9333333333333333,1.0,0.0,1.0,296.0,4.0,,0.6666666666666666,0.3333333333333333,,,,0.6666666666666666,0.3333333333333333,,,,,,3.0498000342049636e-05,0.000211001000025135
undirected1.edgelist,undirected,k_neighbor,0.2,6,7,5,0.7142857142857143,True,True,15.0,28.0,0.0,2.2230230880230883,3.378112073840861,7.333333333333333,296.0,265.0,,0.6666666666666666,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,,,,,0.00044587899992620805,0.0002201690003857948
undirected1.edgelist,undirected,local_degree,0.2,6,7,5,0.7142857142857143,True,True,15.0,16.0,0.0,1.0708994708994708,0.04074466000391925,1.7777777777777777,296.0,187.0,,0.6666666666666666,0.3333333333333333,,,,,0.6666666666666666,,0.3333333333333333,,,,6.540399954246823e-05,0.0002026250003837049
undirected1.edgelist,undirected,mst,0.2,6,7,5,0.7142857142857143,True,True,15.0,16.0,0.0,1.0708994708994708,0.04074466000391925,1.7777777777777777,296.0,187.0,,0.6666666666666666,0.3333333333333333,,,,,0.6666666666666666,,0.3333333333333333,,,,5.140800021763425e-05,0.0001989980000871583
undirected1.edgelist,undirected,t_spanner,0.2,6,7,5,0.7142857142857143,True,True,15.0,16.0,0.0,1.0708994708994708,0.04074466000391925,1.7777777777777777,296.0,187.0,,0.6666666666666666,0.3333333333333333,,,,,0.6666666666666666,,0.3333333333333333,,,,9.999099984270288e-05,0.0002444850006213528
undirected10.edgelist,undirected,original,0.2,19,19,,1.0,True,True,109.215,109.215,0.0,1.0,0.0,1.0,117884.63716421598,117884.63716421598,0.3684210526315789,0.2631578947368421,0.3684210526315789,,,,,0.3684210526315789,0.2631578947368421,0.3684210526315789,,,,,0.0012603069999386207
undirected10.edgelist,undirected,kols,0.2,19,19,18,0.9473684210526315,True,True,109.215,119.02000000000001,0.0,1.0655930937314273,0.00946805641694808,1.6183389039540896,117884.63716421598,104706.62048272797,0.3684210526315789,0.2631578947368421,0.3684210526315789,,,,,0.3684210526315789,0.3684210526315789,0.2631578947368421,,,,0.000298567999379884,0.0011064450000048964
undirected10.edgelist,undirected,random,0.2,19,19,4,0.21052631578947367,True,False,109.215,inf,0.9707602339181286,1.0,0.0,1.0,117884.63716421598,11445.958082689998,0.3684210526315789,0.2631578947368421,0.3684210526315789,,,,0.631578947368421,0.3157894736842105,0.05263157894736842,,,,,4.8441999751958065e-05,0.0006690230002277531
